,date,빈폴,빈폴_absolute
1698,2023-08-26,3.98319,3433.716077084816
1699,2023-08-27,4.39955,3792.639961171448
1700,2023-08-28,4.10305,3537.0416048651587
1701,2023-08-29,4.39703,3790.4675906557927
1702,2023-08-30,4.1245,3555.532615801989
1703,2023-08-31,3.78384,3261.866052364213
1704,2023-09-01,4.07403,3512.0248618634437
1705,2023-09-02,4.46894,3852.457735013247
1706,2023-09-03,4.94965,4266.854651910368
1707,2023-09-04,4.61278,3976.455264763995
1708,2023-09-05,4.42857,3817.6567041731632
1709,2023-09-06,4.56736,3937.3008723746807
1710,2023-09-07,4.58754,3954.6970775357627
1711,2023-09-08,4.80077,4138.512381128309
1712,2023-09-09,5.14522,4435.446120857488
1713,2023-09-10,5.47452,4719.319775938975
1714,2023-09-11,4.81844,4153.744836291656
1715,2023-09-12,4.60016,3965.5761711498785
1716,2023-09-13,4.73138,4078.6946072865103
1717,2023-09-14,4.73769,4084.134154093568
1718,2023-09-15,4.84367,4175.494403001969
1719,2023-09-16,5.20199,4484.384801085171
1720,2023-09-17,5.38242,4639.9248059025185
1721,2023-09-18,4.94713,4264.682281394712
1722,2023-09-19,4.98372,4296.2247564613135
1723,2023-09-20,4.83736,4170.054856194911
1724,2023-09-21,4.9976,4308.190035333257
1725,2023-09-22,4.89792,4222.260712713995
1726,2023-09-23,5.55275,4786.758087621406
1727,2023-09-24,6.2429,5381.703131819671
1728,2023-09-25,5.35718,4618.166618674287
1729,2023-09-26,4.96606,4281.000921815886
1730,2023-09-27,4.42226,3812.2171573661053
1731,2023-09-28,3.97183,3423.923168728528
1732,2023-09-29,3.93146,3389.1221378884434
1733,2023-09-30,5.76345,4968.392400180378
1734,2023-10-01,6.71604,5789.574316651906
1735,2023-10-02,6.79174,5854.831637300763
1736,2023-10-03,7.6396,6585.730869603799
1737,2023-10-04,6.47505,5581.828455315473
1738,2023-10-05,6.53183,5630.775756061075
1739,2023-10-06,6.11294,5269.670880940867
1740,2023-10-07,6.66178,5742.79938642196
1741,2023-10-08,7.01884,6050.603599247334
