,date,에디션,에디션_absolute
1801,2023-12-07,0.45152,719.7891037730869
1802,2023-12-08,0.43122,687.427926401999
1803,2023-12-09,0.47112,751.0343784762065
1804,2023-12-10,0.54392,867.0882559449359
1805,2023-12-11,0.51382,819.1044412222883
1806,2023-12-12,0.47112,751.0343784762065
1807,2023-12-13,0.44662,711.9777850973072
1808,2023-12-14,0.46972,748.8025731402694
1809,2023-12-15,0.41652,663.9939703746594
1810,2023-12-16,0.51102,814.6408305504141
1811,2023-12-17,0.49492,788.9750691871374
1812,2023-12-18,0.48652,775.5842371715147
1813,2023-12-19,0.52082,830.2634679019736
1814,2023-12-20,0.48932,780.0478478433888
1815,2023-12-21,0.52922,843.6542999175964
1816,2023-12-22,0.46272,737.6435464605839
1817,2023-12-23,0.47882,763.3093078238606
1818,2023-12-24,0.56002,892.7540173082126
1819,2023-12-25,0.54672,871.5518666168101
1820,2023-12-26,0.43752,697.471050413716
1821,2023-12-27,0.34371,547.9241514392446
1822,2023-12-28,0.33741,537.8810274275277
1823,2023-12-29,0.29821,475.3904780212887
1824,2023-12-30,0.36261,578.0535234743955
1825,2023-12-31,0.32341,515.5629740681566
1826,2024-01-01,0.34651,552.3877621111188
1827,2024-01-02,0.34021,542.3446380994019
1828,2024-01-03,0.33531,534.533319423622
1829,2024-01-04,0.33111,527.8379034158107
1830,2024-01-05,0.40602,647.2554303551311
1831,2024-01-06,0.35421,564.662691458773
1832,2024-01-07,0.34861,555.7354701150244
1833,2024-01-08,0.32201,513.3311687322196
1834,2024-01-09,0.33741,537.8810274275277
1835,2024-01-10,0.40182,640.5600143473198
1836,2024-01-11,0.36401,580.2853288103327
1837,2024-01-12,0.32901,524.4901954119051
1838,2024-01-13,0.29961,477.6222833572258
1839,2024-01-14,0.38291,610.4147008454836
1840,2024-01-15,0.35071,559.0831781189302
1841,2024-01-16,0.34791,554.6195674470559
1842,2024-01-17,0.34861,555.7354701150244
1843,2024-01-18,0.30941,493.24492070878557
1844,2024-01-19,0.34371,547.9241514392446
