,date,마뗑킴,마뗑킴_absolute
1236,2022-05-21,5.25337,1906.862132732321
1237,2022-05-22,5.74919,2086.8342996749384
1238,2022-05-23,4.82542,1751.5253394543306
1239,2022-05-24,4.60112,1670.1091863237
1240,2022-05-25,5.38323,1953.9985645002375
1241,2022-05-26,4.25287,1543.7018063516
1242,2022-05-27,3.96954,1440.8590124750888
1243,2022-05-28,2.86869,1041.2737598052072
1244,2022-05-29,3.87805,1407.6500786814136
1245,2022-05-30,4.5539,1652.969325642343
1246,2022-05-31,3.92527,1424.7899393627704
1247,2022-06-01,3.83968,1393.7225807071723
1248,2022-06-02,4.22925,1535.1282462225522
1249,2022-06-03,4.97594,1806.1609139938867
1250,2022-06-04,3.98134,1445.1421627512432
1251,2022-06-05,7.29274,2647.1102834680037
1252,2022-06-06,5.67541,2060.0537210838647
1253,2022-06-07,3.47666,1261.95400331314
1254,2022-06-08,3.95478,1435.501444841526
1255,2022-06-09,6.35717,2307.5181729712413
1256,2022-06-10,3.63604,1319.8055703481818
1257,2022-06-11,4.05808,1472.9971586997256
1258,2022-06-12,4.43585,1610.1196739389509
1259,2022-06-13,4.30894,1564.0540297400728
1260,2022-06-14,4.23811,1538.3442387180373
1261,2022-06-15,6.43095,2334.2987515623154
1262,2022-06-16,3.53569,1283.3806440590213
1263,2022-06-17,4.22925,1535.1282462225522
1264,2022-06-18,4.49783,1632.6171022538706
1265,2022-06-19,4.49192,1630.4718973274237
1266,2022-06-20,6.17418,2241.0966755955205
1267,2022-06-21,4.67491,1696.8933947031437
1268,2022-06-22,24.91514,9043.668539951375
1269,2022-06-23,13.74435,4988.908177801959
1270,2022-06-24,4.64834,1687.249047005057
1271,2022-06-25,3.19924,1161.2564143630757
1272,2022-06-26,4.46536,1620.8311794177066
1273,2022-06-27,4.74869,1723.6739732942178
1274,2022-06-28,5.35076,1942.2126416640735
1275,2022-06-29,5.57506,2023.6287947947037
1276,2022-06-30,9.4295,3422.7089431354393
1277,2022-07-01,7.75905,2816.370944931866
1278,2022-07-02,6.11516,2219.6736646380095
1279,2022-07-03,5.85544,2125.4008011021765
1280,2022-07-04,5.16188,1873.6531989386456
1281,2022-07-05,4.16137,1510.4892427695552
1282,2022-07-06,4.34731,1577.981527714314
1283,2022-07-07,4.73688,1719.3871932296938
1284,2022-07-08,4.80772,1745.1006140400987
1285,2022-07-09,3.53569,1283.3806440590213
1286,2022-07-10,3.93707,1429.0730896389248
1287,2022-07-11,3.32615,1207.3220585619536
1288,2022-07-12,4.04332,1467.6395910661627
1289,2022-07-13,4.39158,1594.0506008266325
1290,2022-07-14,4.28533,1555.4840993993944
1291,2022-07-15,4.01381,1456.9280855874072
1292,2022-07-16,21.42962,7778.49854414275
1293,2022-07-17,6.61688,2401.7874067187045
1294,2022-07-18,5.56031,2018.2748569495109
1295,2022-07-19,4.76345,1729.0315409277805
1296,2022-07-20,6.30994,2290.3746825015146
1297,2022-07-21,3.74524,1359.4428593444584
1298,2022-07-22,8.73594,3170.9613409719077
1299,2022-07-23,8.46442,3072.405327159921
1300,2022-07-24,8.05418,2923.4968890845316
1301,2022-07-25,7.44326,2701.74585800756
1302,2022-07-26,6.73198,2443.566270853058
1303,2022-07-27,6.54605,2376.077615696669
1304,2022-07-28,6.02366,2186.4611010559643
1305,2022-07-29,4.68966,1702.2473325483368
1306,2022-07-30,3.9961,1450.499730384806
1307,2022-07-31,4.28533,1555.4840993993944
1308,2022-08-01,3.94298,1431.2182945653717
1309,2022-08-02,4.29714,1559.7708794639184
1310,2022-08-03,4.79886,1741.8846215446135
1311,2022-08-04,3.94888,1433.3598697034488
1312,2022-08-05,3.98134,1445.1421627512432
1313,2022-08-06,3.39993,1234.1026371530274
1314,2022-08-07,4.56276,1656.1853181378285
