,date,브룩스브라더스,브룩스브라더스_absolute
497,2020-05-12,13.93301,1633.79090330398
498,2020-05-13,11.0909,1300.5238300592703
499,2020-05-14,10.0,1172.6044144832883
500,2020-05-15,10.43062,1223.0991057797676
501,2020-05-16,12.63157,1481.183474385467
502,2020-05-17,14.9665,1754.9783969364134
503,2020-05-18,12.99521,1523.8240613137373
504,2020-05-19,12.94736,1518.2131491904347
505,2020-05-20,11.23444,1317.3553938247633
506,2020-05-21,10.91866,1280.32689162421
507,2020-05-22,10.35406,1214.1216463824837
508,2020-05-23,10.5933,1242.1750343945816
509,2020-05-24,13.20574,1548.5109020518541
510,2020-05-25,11.0909,1300.5238300592703
511,2020-05-26,11.25358,1319.5997586740843
512,2020-05-27,9.78947,1147.9175737451717
513,2020-05-28,8.9665,1051.4157482464404
514,2020-05-29,9.311,1091.8119703253897
515,2020-05-30,10.27751,1205.145359589614
516,2020-05-31,11.9043,1395.9034731333409
517,2020-06-01,11.1866,1311.7456543058754
518,2020-06-02,9.81818,1151.2841210191532
519,2020-06-03,9.97129,1169.2378672093068
520,2020-06-04,11.47368,1345.4087818368616
521,2020-06-05,10.10526,1184.9472485501394
522,2020-06-06,11.47368,1345.4087818368616
523,2020-06-07,14.3732,1685.4077770251201
524,2020-06-08,13.4354,1575.4409350348772
525,2020-06-09,13.32057,1561.9759185433657
526,2020-06-10,14.76555,1731.4149112273717
527,2020-06-11,13.71291,1607.981880141203
528,2020-06-12,11.1866,1311.7456543058754
529,2020-06-13,15.46411,1813.3283652055163
530,2020-06-14,14.87081,1743.757745294223
531,2020-06-15,14.01913,1643.8893725215103
532,2020-06-16,12.66985,1485.6722040841091
533,2020-06-17,11.48325,1346.530964261522
534,2020-06-18,12.4976,1465.4740930446344
535,2020-06-19,11.38755,1335.309140014917
536,2020-06-20,11.87559,1392.5369258593596
537,2020-06-21,14.29665,1676.4314902322503
538,2020-06-22,13.11961,1538.4112602299094
539,2020-06-23,12.92822,1515.9687843411139
540,2020-06-24,11.1866,1311.7456543058754
541,2020-06-25,12.45933,1460.9865359504067
542,2020-06-26,12.41148,1455.3756238271042
543,2020-06-27,12.73684,1493.5274810567328
544,2020-06-28,13.78947,1616.959339538487
545,2020-06-29,12.50717,1466.596275469295
546,2020-06-30,10.85167,1272.4716146515866
547,2020-07-01,10.29665,1207.389724438935
548,2020-07-02,11.04306,1294.9140905403822
549,2020-07-03,9.5311,1117.620993488167
550,2020-07-04,11.04306,1294.9140905403822
551,2020-07-05,12.74641,1494.649663481393
552,2020-07-06,10.88995,1276.9603443502288
553,2020-07-07,15.34928,1799.8633487140048
554,2020-07-08,14.76555,1731.4149112273717
555,2020-07-09,43.311,5078.66697956857
556,2020-07-10,21.81818,2558.409418399099
557,2020-07-11,15.78947,1851.4802224351447
558,2020-07-12,16.83253,1973.7898984922383
559,2020-07-13,15.11004,1771.8099607019067
560,2020-07-14,12.25837,1437.4218776369507
561,2020-07-15,11.77033,1380.1940917925083
562,2020-07-16,9.44497,1107.5213516662222
563,2020-07-17,9.51196,1115.376628638846
564,2020-07-18,10.77511,1263.4941552543025
565,2020-07-19,12.03827,1411.6128544741737
566,2020-07-20,10.52631,1234.3197574219585
567,2020-07-21,10.8421,1271.3494322269262
568,2020-07-22,9.49282,1113.1322637895248
569,2020-07-23,9.52153,1116.4988110635065
570,2020-07-24,8.75598,1026.7300801127383
571,2020-07-25,9.7799,1146.795391320511
572,2020-07-26,12.44976,1459.8643535257463
573,2020-07-27,10.14354,1189.4359782487813
574,2020-07-28,9.34928,1096.3007000240318
575,2020-07-29,8.93779,1048.049200972459
576,2020-07-30,8.63157,1012.1417085921518
577,2020-07-31,7.98086,935.8391667373096
578,2020-08-01,11.84688,1389.1703785853779
579,2020-08-02,13.61722,1596.7612284990123
580,2020-08-03,10.64114,1247.78477391347
581,2020-08-04,9.88516,1159.1382253873624
582,2020-08-05,9.73205,1141.1844791972085
583,2020-08-06,10.23923,1200.656629890972
584,2020-08-07,8.64114,1013.2638910168122
585,2020-08-08,9.96172,1168.1156847846462
586,2020-08-09,10.28708,1206.2675420142746
587,2020-08-10,9.5311,1117.620993488167
588,2020-08-11,8.27751,970.6244766929564
589,2020-08-12,8.21052,962.769199720333
590,2020-08-13,7.28229,853.9245401547505
591,2020-08-14,8.06698,945.9376359548396
592,2020-08-15,8.00956,939.2045414068767
593,2020-08-16,10.44976,1225.3434706290886
594,2020-08-17,11.25358,1319.5997586740843
595,2020-08-18,8.51674,998.6766921006401
596,2020-08-19,9.07177,1063.7597549177062
597,2020-08-20,9.35885,1097.4228824486922
598,2020-08-21,13.47368,1579.9296647335193
599,2020-08-22,10.2488,1201.7788123156324
600,2020-08-23,11.29186,1324.0884883727265
601,2020-08-24,11.58851,1358.8737983283731
602,2020-08-25,9.70334,1137.8179319232272
603,2020-08-26,11.08133,1299.4016476346096
604,2020-08-27,11.42583,1339.797869713559
605,2020-08-28,11.5311,1352.1418763848246
606,2020-08-29,13.95215,1636.035268153301
607,2020-08-30,13.6555,1601.2499581976545
608,2020-08-31,10.34449,1212.999463957823
609,2020-09-01,10.622,1245.540409064149
610,2020-09-02,10.29665,1207.389724438935
611,2020-09-03,10.21052,1197.2900826169905
612,2020-09-04,12.28708,1440.7884249109322
613,2020-09-05,13.00478,1524.946243738398
614,2020-09-06,15.17703,1779.66523767453
615,2020-09-07,13.80861,1619.203704387808
