,date,타미힐피거,타미힐피거_absolute
1419,2022-11-20,7.69007,6629.238623542345
1420,2022-11-21,6.42332,5537.234516119101
1421,2022-11-22,6.56463,5659.051054836274
1422,2022-11-23,6.03976,5206.585930807666
1423,2022-11-24,5.74579,4953.168565534952
1424,2022-11-25,5.98551,5159.8196210956385
1425,2022-11-26,7.16268,6174.601128998082
1426,2022-11-27,8.3613,7207.873647837354
1427,2022-11-28,6.81066,5871.141657204018
1428,2022-11-29,6.45991,5568.7769911857
1429,2022-11-30,7.23964,6240.944634904766
1430,2022-12-01,6.20126,5345.807295203841
1431,2022-12-02,5.80761,5006.460607311865
1432,2022-12-03,5.80761,5006.460607311865
1433,2022-12-04,7.40366,6382.338369816596
1434,2022-12-05,6.34257,5467.623833921013
1435,2022-12-06,5.99308,5166.345353160524
1436,2022-12-07,5.90224,5088.036568381895
1437,2022-12-08,6.10411,5262.058963618154
1438,2022-12-09,5.6991,4912.91936736989
1439,2022-12-10,6.38926,5507.873032086074
1440,2022-12-11,7.60806,6558.541756086429
1441,2022-12-12,6.69585,5772.169490972905
1442,2022-12-13,5.90855,5093.476115188953
1443,2022-12-14,7.98909,6887.009350364288
1444,2022-12-15,6.61384,5701.472623516989
1445,2022-12-16,5.34078,4604.028969286687
1446,2022-12-17,6.0057,5177.22444677464
1447,2022-12-18,7.00118,6035.379764601907
1448,2022-12-19,5.9035,5089.122753639724
1449,2022-12-20,5.77607,4979.271493794494
1450,2022-12-21,5.91233,5096.734670962437
1451,2022-12-22,5.4884,4731.285054810919
1452,2022-12-23,5.61709,4842.222499913975
1453,2022-12-24,6.2,5344.721109946013
1454,2022-12-25,6.72613,5798.272419232448
1455,2022-12-26,5.79499,4995.581513697749
1456,2022-12-27,5.15026,4439.790861888799
1457,2022-12-28,5.09475,4391.938366918944
1458,2022-12-29,5.14396,4434.359935599659
1459,2022-12-30,5.45055,4698.65639448649
1460,2022-12-31,5.32816,4593.149875672571
1461,2023-01-01,5.31807,4584.451773092031
1462,2023-01-02,5.12377,4416.955109920658
1463,2023-01-03,4.86638,4195.071599196625
1464,2023-01-04,4.98877,4300.578118010543
1465,2023-01-05,5.06825,4369.093994432884
1466,2023-01-06,4.97741,4290.785209654255
1467,2023-01-07,6.00444,5176.138261516812
