,date,질스튜어트,질스튜어트_absolute
602,2020-08-25,29.63636,3475.1726565215945
603,2020-08-26,34.32535,4025.0056938683942
604,2020-08-27,33.17703,3890.3531837444493
605,2020-08-28,29.36842,3443.7538938399293
606,2020-08-29,28.22966,3310.2223935362304
607,2020-08-30,34.92822,4095.6984962043484
608,2020-08-31,28.39234,3329.298322151045
609,2020-09-01,30.23923,3545.8654588575487
610,2020-09-02,31.50239,3693.9841580774196
611,2020-09-03,29.50239,3459.4632751807617
612,2020-09-04,28.79425,3376.426466173543
613,2020-09-05,31.73205,3720.914191060443
614,2020-09-06,36.9665,4334.7081087996485
615,2020-09-07,33.62679,3943.0922398902494
616,2020-09-08,28.60287,3353.985162889161
617,2020-09-09,27.44497,3218.2092977361417
618,2020-09-10,28.31578,3320.3208627537606
619,2020-09-11,28.48803,3340.518973793235
620,2020-09-12,32.35406,3793.8513582457176
621,2020-09-13,38.03827,4460.384332130723
