,date,메종 키츠네,메종 키츠네_absolute
503,2020-05-18,10.87202,13752.315765430505
504,2020-05-19,11.83556,14971.123892404417
505,2020-05-20,11.14755,14100.84120622707
506,2020-05-21,10.14629,12834.32001850897
507,2020-05-22,10.22419,12932.85786135023
508,2020-05-23,10.11595,12795.942121823426
509,2020-05-24,10.58829,13393.417920124335
510,2020-05-25,11.71256,14815.537824760322
511,2020-05-26,11.15985,14116.399812991482
512,2020-05-27,10.96632,13871.598417290978
513,2020-05-28,9.14503,11567.798830790869
514,2020-05-29,8.80061,11132.13254283982
515,2020-05-30,7.85183,9931.994743983198
516,2020-05-31,9.12699,11544.979540869734
517,2020-06-01,8.60544,10885.256666237396
518,2020-06-02,8.22003,10397.741005012105
519,2020-06-03,8.03798,10167.460975625054
520,2020-06-04,8.31679,10520.135378225461
521,2020-06-05,7.95762,10065.811411430912
522,2020-06-06,7.65912,9688.230588733657
523,2020-06-07,7.97812,10091.742422704927
524,2020-06-08,8.48982,10739.005762651946
525,2020-06-09,8.24463,10428.858218540927
526,2020-06-10,8.21019,10385.29411960058
527,2020-06-11,8.571,10841.692567297048
528,2020-06-12,8.39633,10620.747701968643
529,2020-06-13,8.06176,10197.540948702912
530,2020-06-14,8.70713,11013.887131430305
531,2020-06-15,8.73091,11043.967104508165
532,2020-06-16,7.605,9619.772718970256
533,2020-06-17,6.95881,8802.3892957919
534,2020-06-18,7.6378,9661.262337008682
535,2020-06-19,6.95799,8801.35205534094
536,2020-06-20,7.17694,9078.307905021222
537,2020-06-21,8.25447,10441.305103952453
538,2020-06-22,8.91542,11277.358855248098
539,2020-06-23,8.70221,11007.663688724542
540,2020-06-24,7.85019,9929.920263081276
541,2020-06-25,7.91661,10013.93673960909
542,2020-06-26,6.90387,8732.89418557754
543,2020-06-27,7.25649,9178.932878038195
544,2020-06-28,8.32007,10524.284340029302
545,2020-06-29,9.01218,11399.753228461455
546,2020-06-30,7.59352,9605.251352656807
547,2020-07-01,8.08964,10232.807124035573
548,2020-07-02,7.49758,9483.894219894413
549,2020-07-03,6.67836,8447.640412289571
550,2020-07-04,6.93585,8773.346563165003
551,2020-07-05,7.47872,9460.037689522318
552,2020-07-06,7.26305,9187.23080164588
553,2020-07-07,6.94405,8783.71896767461
554,2020-07-08,6.69066,8463.199019053982
555,2020-07-09,6.42907,8132.306665923748
556,2020-07-10,6.19044,7830.457045420411
557,2020-07-11,6.90141,8729.782464224656
558,2020-07-12,7.97648,10089.667941803005
559,2020-07-13,7.71079,9753.58938641797
560,2020-07-14,7.0728,8946.57836774922
561,2020-07-15,6.79071,8589.755003344972
562,2020-07-16,6.60374,8353.251531252155
563,2020-07-17,6.75544,8545.141014679872
564,2020-07-18,6.90223,8730.819704675618
565,2020-07-19,7.36145,9311.699655761155
566,2020-07-20,6.53731,8269.222405450551
567,2020-07-21,6.69066,8463.199019053982
568,2020-07-22,6.45613,8166.535600805449
569,2020-07-23,6.15354,7783.781225127183
570,2020-07-24,7.50168,9489.080422149216
571,2020-07-25,7.40655,9368.747880563991
572,2020-07-26,8.9351,11302.252626071155
573,2020-07-27,7.42459,9391.567170485125
574,2020-07-28,8.5177,10774.271937984608
575,2020-07-29,15.9423,20165.851757743523
576,2020-07-30,8.66121,10955.801666176512
577,2020-07-31,8.98676,11367.598774481676
578,2020-08-01,8.06504,10201.689910506755
579,2020-08-02,8.48736,10735.894041299065
580,2020-08-03,8.29137,10487.980924245683
581,2020-08-04,8.5054,10758.713331220199
582,2020-08-05,7.95188,10058.550728274187
583,2020-08-06,8.10194,10248.365730799984
584,2020-08-07,7.43689,9407.125777249534
585,2020-08-08,7.96746,10078.25829684244
586,2020-08-09,9.50748,12026.27175938926
587,2020-08-10,9.16635,11594.767082515844
588,2020-08-11,8.26841,10458.938191618783
589,2020-08-12,7.89939,9992.154690138916
590,2020-08-13,7.77639,9836.56862249482
591,2020-08-14,7.18514,9088.680309530828
592,2020-08-15,7.89857,9991.117449687954
593,2020-08-16,8.80717,11140.430466447502
594,2020-08-17,8.86867,11218.22350026955
595,2020-08-18,8.5833,10857.25117406146
596,2020-08-19,8.26841,10458.938191618783
597,2020-08-20,7.61238,9629.1078830289
598,2020-08-21,7.55662,9558.575532363579
599,2020-08-22,7.57876,9586.581024539515
600,2020-08-23,8.5095,10763.899533475002
601,2020-08-24,7.99944,10118.710674429904
602,2020-08-25,8.30531,10505.614011912014
603,2020-08-26,7.81329,9883.24444278805
604,2020-08-27,7.77721,9837.60586294578
605,2020-08-28,7.12446,9011.924516159741
606,2020-08-29,7.54596,9545.09140650109
607,2020-08-30,8.01666,10140.492723900077
608,2020-08-31,7.78295,9844.866546102505
609,2020-09-01,8.25857,10446.491306207257
610,2020-09-02,8.448,10686.106499652955
611,2020-09-03,8.24463,10428.858218540927
612,2020-09-04,8.20937,10384.256879149618
613,2020-09-05,9.01464,11402.864949814337
614,2020-09-06,10.3226,13057.339364739297
615,2020-09-07,10.63421,13451.50338537813
616,2020-09-08,9.39596,11885.207058058615
617,2020-09-09,9.94702,12582.257939651745
618,2020-09-10,8.9146,11276.32161479714
619,2020-09-11,8.57428,10845.841529100891
620,2020-09-12,8.84161,11183.99456538785
621,2020-09-13,9.75841,12343.679986657005
622,2020-09-14,9.24343,11692.267684906144
623,2020-09-15,10.38902,13141.35584126711
624,2020-09-16,11.61743,14695.205283175099
